"SUBJECT","NUMBER","INSTRUCTOR","AP","A","AM","BP","B","BM","CP","C","CM","DP","D","DM","F","P","N","OTHER","W","TOT_NON_W"
"TA","250.0","Gilg, Joseph M","0.0","8.0","8.0","3.0","6.0","1.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","30.0"
"TA","250.0","Gillooly-Kress, Ellen Louise","1.0","11.0","8.0","5.0","11.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","38.0"
"TA","250.0","Gray, Leslie Jewell","1.0","7.0","15.0","7.0","9.0","10.0","4.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","1.0","2.0","57.0"
"TA","250.0","Lenk, Waylon Conrad","1.0","18.0","5.0","4.0","7.0","3.0","3.0","4.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","4.0","49.0"
"TA","250.0","Morris, Damond Guy","0.0","20.0","5.0","2.0","1.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32.0"
"TA","250.0","Rodley, Patricia Danielle","0.0","20.0","18.0","3.0","1.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","46.0"
"TA","250.0","Rogers, Jessica Kim","0.0","16.0","13.0","4.0","3.0","2.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","45.0"
"TA","250.0","Rorem, Jacob Daniel","0.0","12.0","1.0","6.0","0.0","2.0","0.0","0.0","1.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","1.0","26.0"
"TA","250.0","Salame, Zeina ","0.0","13.0","3.0","8.0","3.0","1.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32.0"
"TA","250.0","Sanchez Saltveit, Olga Patricia","0.0","4.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0"
"TA","250.0","Yeadon, Michelle Ann McGilvray","0.0","5.0","5.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0"
"TA","251.0","Foran, Rachel Elizabeth","0.0","10.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0"
"TA","251.0","Gilg, Joseph M","0.0","16.0","18.0","3.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","42.0"
"TA","251.0","Gillooly-Kress, Ellen Louise","0.0","9.0","3.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0"
"TA","251.0","Rodley, Patricia Danielle","0.0","14.0","4.0","1.0","0.0","5.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27.0"
"TA","251.0","Rogers, Jessica Kim","0.0","8.0","6.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0"
"TA","251.0","Salame, Zeina ","1.0","11.0","13.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","29.0"
"TA","251.0","Sidden, Jean H","2.0","6.0","4.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","14.0"
"TA","251.0","Yeadon, Michelle Ann McGilvray","1.0","8.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0"
"TA","252.0","May, Theresa Joette","2.0","15.0","4.0","7.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","30.0"
"TA","252.0","Rodley, Patricia Danielle","0.0","6.0","7.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0"
"TA","252.0","Rogers, Jessica Kim","1.0","8.0","4.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","15.0"
"TA","252.0","Salame, Zeina ","0.0","11.0","2.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0"
"TA","252.0","Sanchez Saltveit, Olga Patricia","0.0","6.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","14.0"
"TA","252.0","Yeadon, Michelle Ann McGilvray","0.0","4.0","3.0","1.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","12.0"
"TA","271.0","May, Theresa Joette","10.0","37.0","32.0","12.0","1.0","5.0","1.0","1.0","1.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","104.0"
"TA","271.0","Milkovich, Erica Anne","0.0","17.0","9.0","3.0","5.0","5.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0","0.0","3.0","46.0"
"TA","271.0","Rodley, Patricia Danielle","0.0","67.0","77.0","21.0","10.0","11.0","9.0","3.0","1.0","0.0","3.0","0.0","4.0","0.0","0.0","1.0","2.0","207.0"
"TA","364.0","Gilg, Joseph M","1.0","20.0","24.0","18.0","11.0","5.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","82.0"
"TA","364.0","Najjar, Malek Jamil","1.0","7.0","3.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","17.0"
"TA","367.0","Allaback, Christina Louise","0.0","10.0","12.0","2.0","6.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","1.0","36.0"
"TA","367.0","Najjar, Malek Jamil","0.0","51.0","35.0","11.0","43.0","18.0","7.0","17.0","6.0","0.0","6.0","1.0","4.0","5.0","0.0","0.0","7.0","204.0"
"TA","367.0","Rogers, Jessica Kim","1.0","16.0","14.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","38.0"
"TA","368.0","Barre, Nelson Keith","0.0","4.0","18.0","16.0","12.0","4.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","58.0"
"TA","368.0","Forsgren, La Donna Lee","10.0","15.0","25.0","9.0","11.0","11.0","4.0","5.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","93.0"
"TA","368.0","Rodley, Patricia Danielle","0.0","1.0","14.0","3.0","7.0","8.0","1.0","3.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","39.0"
"TA","369.0","Allaback, Christina Louise","0.0","9.0","5.0","2.0","3.0","1.0","2.0","0.0","3.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","2.0","28.0"
"TA","369.0","Barre, Nelson Keith","1.0","11.0","28.0","7.0","9.0","5.0","2.0","2.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","70.0"
"TA","369.0","Najjar, Malek Jamil","0.0","10.0","13.0","9.0","21.0","3.0","4.0","6.0","1.0","1.0","2.0","0.0","6.0","0.0","0.0","0.0","1.0","76.0"
"TA","369.0","Salame, Zeina ","2.0","11.0","5.0","5.0","3.0","3.0","5.0","4.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","3.0","40.0"
"TA","410.0","Elliott, John A","2.0","8.0","4.0","3.0","1.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.0"
"TA","411.0","Bonds, Alexandra Burke","0.0","4.0","3.0","2.0","4.0","0.0","0.0","3.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","17.0"
"TA","411.0","De Jong, Jeanette ","1.0","5.0","1.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0"
"TA","412.0","Bonds, Alexandra Burke","0.0","7.0","2.0","0.0","2.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0"
"TA","412.0","De Jong, Jeanette ","1.0","4.0","2.0","2.0","3.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","16.0"
"TA","413.0","Bonds, Alexandra Burke","0.0","18.0","1.0","4.0","10.0","5.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","43.0"
"TA","418.0","De Jong, Jeanette ","1.0","5.0","3.0","2.0","4.0","2.0","1.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","23.0"
"TA","441.0","Hooker, Jerry S","0.0","5.0","2.0","1.0","4.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0"
"TA","445.0","Branam, Bradley David","0.0","4.0","1.0","0.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0"
"TA","445.0","Hooker, Jerry S","0.0","27.0","6.0","9.0","9.0","3.0","3.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","60.0"
"TA","445.0","Rose, Janet ","0.0","7.0","5.0","2.0","5.0","2.0","0.0","4.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","26.0"
"TA","452.0","May, Theresa Joette","4.0","8.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0"
"TA","452.0","Rodley, Patricia Danielle","0.0","14.0","9.0","1.0","2.0","3.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32.0"
"TA","452.0","Schmor, John Brockway","2.0","80.0","35.0","13.0","17.0","3.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","151.0"
"TA","465.0","Najjar, Malek Jamil","3.0","9.0","4.0","3.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","21.0"
"TA","470.0","Barre, Nelson Keith","0.0","2.0","6.0","1.0","1.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0"
"TA","470.0","Forsgren, La Donna Lee","2.0","13.0","14.0","3.0","4.0","5.0","2.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","46.0"
"TA","470.0","Najjar, Malek Jamil","0.0","18.0","13.0","5.0","3.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","42.0"
"TA","470.0","Rodley, Patricia Danielle","1.0","8.0","22.0","5.0","7.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","3.0","47.0"
"TA","471.0","May, Theresa Joette","0.0","5.0","9.0","1.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0"
"TA","471.0","Rodley, Patricia Danielle","0.0","0.0","8.0","2.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","14.0"
"TA","471.0","Rose, Janet ","1.0","7.0","5.0","2.0","1.0","8.0","0.0","6.0","0.0","3.0","2.0","0.0","1.0","0.0","0.0","0.0","1.0","36.0"
"TA","472.0","Barre, Nelson Keith","0.0","3.0","6.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0"
"TA","472.0","Forsgren, La Donna Lee","1.0","6.0","3.0","0.0","2.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","16.0"
"TA","472.0","May, Theresa Joette","20.0","18.0","13.0","11.0","7.0","6.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","2.0","82.0"
"TA","472.0","Najjar, Malek Jamil","5.0","23.0","13.0","5.0","8.0","2.0","1.0","0.0","0.0","0.0","1.0","1.0","7.0","0.0","0.0","0.0","1.0","66.0"
"TA","490.0","Barre, Nelson Keith","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","11.0"
"TA","490.0","Najjar, Malek Jamil","1.0","5.0","5.0","1.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","18.0"
